txn_id,value_date,narration,ref_no,debit,credit
btxn_6YCQ7QESZQ0363,2026-06-14,IMPS/5740411708s594/RAZORPAY/SETTLEMENT,5740411708s594,0,21726370
btxn_9FGSKF0VQR0404,2026-06-15,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-8481445242s657,8481445242s657,0,5485361
btxn_RKUAXHV46B0443,2026-06-16,NEFT-9006854740o991-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,9006854740o991,0,16123145
btxn_TX929PPDG90469,2026-06-17,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT PAYOUT,NA,0,7496214
btxn_EXP33XRME70490,2026-06-18,NEFT-8008775062p927-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,8008775062p927,0,2921505
btxn_WEV512RRL60489,2026-06-19,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-8008775062p927,8008775062p927,0,2921505
btxn_WQGR2N0QE60534,2026-06-19,NEFT-8816263800k606-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,8816263800k606,0,18135044
btxn_6Y24BUNEBQ0549,2026-06-20,IMPS/2158329197k230/RAZORPAY/SETTLEMENT,2158329197k230,0,3260011
btxn_Z72XLGPK8Q0569,2026-06-21,RTGS-3436327339z413-RAZORPAY SOFTWARE PRIVATE LIMITED,3436327339z413,0,3497039
btxn_CJZYBX0G3Y0590,2026-06-22,NEFT-6790517486w471-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,6790517486w471,0,4727819
btxn_JA1NVWFHLR0611,2026-06-23,IMPS/9027036016d445/RAZORPAY/SETTLEMENT,9027036016d445,0,2490242
btxn_S8EY2W5BDM0610,2026-06-24,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-9027036016d445,9027036016d445,0,2490242
btxn_27UC71787Q0643,2026-06-24,NEFT-8728916782g186-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,8728916782g186,0,13479692
btxn_WYAT9K14P40657,2026-06-25,RTGS-6784307829w546-RAZORPAY SOFTWARE PRIVATE LIMITED,6784307829w546,0,1976317
btxn_FDC0WEJD4D0695,2026-06-26,NEFT-2219460880c623-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,2219460880c623,0,13031728
btxn_GLLC28GWWN0739,2026-06-27,IMPS/RAZORPAYSOFTWARE/PAYOUT/REF UNAVAILABLE,,0,19575102
btxn_7121Z07VE20754,2026-06-28,RTGS-5359368511u423-RAZORPAY SOFTWARE PRIVATE LIMITED,5359368511u423,0,155692
btxn_6P7U0DXKPQ0777,2026-06-29,RTGS-9837774039m534-RAZORPAY SOFTWARE PRIVATE LIMITED,9837774039m534,0,25804737
btxn_4LJY3AYNHN0809,2026-06-30,FUND TRF FRM RAZORPAY SOFTWARE PVT LTD,,0,9038248
btxn_77Q0F29QFR0844,2026-07-01,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-9516613938d531,9516613938d531,0,27003455
btxn_J0M1W9L3QG0882,2026-07-02,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-5893467877o247,5893467877o247,0,21922600
btxn_K2QKY7BR3Z0923,2026-07-03,NEFT-5405091237a743-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,5405091237a743,0,8295459
btxn_0JNNS74UQN0949,2026-07-04,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-6717441860s527,6717441860s527,0,3622344
btxn_URXRZQ5WHR0982,2026-07-05,IMPS/4836655711l892/RAZORPAY/SETTLEMENT,4836655711l892,0,6901518
btxn_UGQHU24WR31002,2026-07-06,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-2798948060s947,2798948060s947,0,7849513
btxn_VXKCW2ATP71017,2026-07-07,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-7876495136v340,7876495136v340,0,1121094
btxn_YMBZ5Y3PN01031,2026-07-08,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-4003279786m230,4003279786m230,0,811274
btxn_WGQQBWQEU51070,2026-07-09,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-2410688654l359,2410688654l359,0,16399769
btxn_A9QNZC1GX81093,2026-07-10,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-5946851537x610,5946851537x610,0,3856714
btxn_BXB6CK2C091129,2026-07-11,NEFT-2052640876w834-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,2052640876w834,0,8012903
btxn_VVXQ82KWAD1167,2026-07-12,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-9455632693o525,9455632693o525,0,23439495
btxn_4V2DNPXL091202,2026-07-13,NEFT CR-RAZORPAY SOFTWARE PVT LTD-SETTLEMENT PAYOUT,REF NOT AVAILABLE,0,14448181
btxn_P27AVLXV3H1231,2026-07-14,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-4439567874e521,4439567874e521,0,7515391
btxn_TAV40LGDZP1255,2026-07-15,NEFT-7215153583n352-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,7215153583n352,0,16893336
btxn_Z3B9ZG26CT1279,2026-07-16,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-2297295374i567,2297295374i567,0,3892977
btxn_WP59MHURPX1293,2026-07-17,RTGS-4948253709e223-RAZORPAY SOFTWARE PRIVATE LIMITED,4948253709e223,0,2344519
btxn_X8V71DVSGK1331,2026-07-18,RTGS-5604420757d485-RAZORPAY SOFTWARE PRIVATE LIMITED,5604420757d485,0,23109653
btxn_CQ4R1A3DET1352,2026-07-19,IMPS/6717516887c348/RAZORPAY/SETTLEMENT,6717516887c348,0,4594178
btxn_4SVCQS1SA91351,2026-07-20,IMPS/6717516887c348/RAZORPAY/SETTLEMENT,6717516887c348,0,4594178
btxn_K2G3QLT99X1396,2026-07-20,IMPS/8411916248f658/RAZORPAY/SETTLEMENT,8411916248f658,0,9534270
btxn_2PR25YB9MJ1410,2026-07-21,NEFT-3603958409x917-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,3603958409x917,0,696099
btxn_9J2CPQZHDG1436,2026-07-22,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-4171860046i740,4171860046i740,0,26260412
btxn_4B731H56D11462,2026-07-23,IMPS/5015629493w563/RAZORPAY/SETTLEMENT,5015629493w563,0,13831312
btxn_89Y1LJX32D1485,2026-07-25,IMPS/9952225854f284/RAZORPAY/SETTLEMENT,9952225854f284,0,3938815
btxn_N8C24GRD5Q1529,2026-07-25,NEFT-8327650795q445-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,8327650795q445,0,24760533
btxn_G0KLYR2TJA1552,2026-07-26,RTGS-8735350545f216-RAZORPAY SOFTWARE PRIVATE LIMITED,8735350545f216,0,7562311
btxn_9RRGKH7B1L1590,2026-07-27,IMPS/6992289064e870/RAZORPAY/SETTLEMENT,6992289064e870,0,11739123
btxn_YDFHZAM5GF1613,2026-07-28,NEFT-4505613864a289-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,4505613864a289,0,2017433
btxn_J5DYZBQEDA1630,2026-07-29,IMPS/1857316576b573/RAZORPAY/SETTLEMENT,1857316576b573,0,2691771
btxn_V4MHRA5TJR1672,2026-07-30,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-6216293469b618,6216293469b618,0,10580855
btxn_JKPPKKL8BG1690,2026-07-31,RTGS-4853705045n936-RAZORPAY SOFTWARE PRIVATE LIMITED,4853705045n936,0,1979656
btxn_9LKQDX82J61714,2026-08-01,NEFT-2619318385t445-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,2619318385t445,0,-9500692
btxn_W1Q3R5K2MU1749,2026-08-02,RTGS-9852803512f217-RAZORPAY SOFTWARE PRIVATE LIMITED,9852803512f217,0,12328743
btxn_QKG8QYM5E91766,2026-08-03,IMPS/1417024330g841/RAZORPAY/SETTLEMENT,1417024330g841,0,2599192
btxn_K4ZADAPCY01780,2026-08-04,NEFT-8401739069s271-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,8401739069s271,0,5466095
btxn_BL202AXRUM1821,2026-08-05,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-9549250209n559,9549250209n559,0,34135775
btxn_E6A5SVR2DK1845,2026-08-06,IMPS/8286703470k749/RAZORPAY/SETTLEMENT,8286703470k749,0,12494293
btxn_11SBYGGCMF1886,2026-08-07,NEFT-5913746393f319-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,5913746393f319,0,15949131
btxn_XACUNPM25M1927,2026-08-08,NEFT-8336805155b418-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,8336805155b418,0,14952264
btxn_G0YTUHN5M51965,2026-08-09,IMPS/5204291609r105/RAZORPAY/SETTLEMENT,5204291609r105,0,15676047
btxn_XCQR4T38RP1979,2026-08-10,NEFT-7890867713f738-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,7890867713f738,0,2512861
btxn_WK6JC3W0VL2014,2026-08-11,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-6082707337n978,6082707337n978,0,27545665
btxn_20AR2G2JV32049,2026-08-12,RTGS-4571913130a683-RAZORPAY SOFTWARE PRIVATE LIMITED,4571913130a683,0,22314994
btxn_JP496DXUE02078,2026-08-13,IMPS/6139960587z164/RAZORPAY/SETTLEMENT,6139960587z164,0,16064091
btxn_XZVLQQMVF02122,2026-08-14,NEFT-6458983423a871-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,6458983423a871,0,31677972
btxn_2VGT6ZQR1Z2158,2026-08-15,RTGS-6582989804z493-RAZORPAY SOFTWARE PRIVATE LIMITED,6582989804z493,0,4237591
btxn_XET70LZR8D2157,2026-08-16,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-6582989804z493,6582989804z493,0,4237591
btxn_RVEXJ8GSU62199,2026-08-16,RTGS-2751153225y749-RAZORPAY SOFTWARE PRIVATE LIMITED,2751153225y749,0,25479480
btxn_YQR7Z1W0622234,2026-08-17,IMPS/2655821087y452/RAZORPAY/SETTLEMENT,2655821087y452,0,30022998
btxn_L5M603QSWE2261,2026-08-18,RTGS-8336481873d122-RAZORPAY SOFTWARE PRIVATE LIMITED,8336481873d122,0,21937182
btxn_337PANAK8X2260,2026-08-19,IMPS/8336481873d122/RAZORPAY/SETTLEMENT,8336481873d122,0,21937182
btxn_1YKMLQN2PH2299,2026-08-19,NEFT-5158734449a923-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,5158734449a923,0,15853442
btxn_EW4P536HBY2331,2026-08-20,NEFT CR-4373XXXX-RAZORPAY SOFTWARE PVT LTD,REF NOT AVAILABLE,0,16594587
btxn_6U4DWLJG7H2357,2026-08-21,RTGS-4708226461b360-RAZORPAY SOFTWARE PRIVATE LIMITED,4708226461b360,0,7651212
btxn_Z42F6D4QH42403,2026-08-22,IMPS/2858297343p316/RAZORPAY/SETTLEMENT,2858297343p316,0,17769270
btxn_MM73UBWT6R2417,2026-08-23,NEFT-6980369649r420-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,6980369649r420,0,397188
btxn_1SPCG0XY3J2443,2026-08-24,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-7579606959m133,7579606959m133,0,30235730
btxn_HHXS55QUSR2475,2026-08-25,NEFT-4563053000c310-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,4563053000c310,0,3244129
btxn_4DHEZGN1K12506,2026-08-26,NEFT-7018498442d328-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,7018498442d328,0,6285575
btxn_61V4ZUY2X52520,2026-08-27,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-9051471129f511,9051471129f511,0,650793
btxn_KD34ZTQNVQ2564,2026-08-28,NEFT-9634673210q364-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,9634673210q364,0,12818907
btxn_Z1PVRF8D4P2587,2026-08-29,RTGS-6250305853o302-RAZORPAY SOFTWARE PRIVATE LIMITED,6250305853o302,0,4135372
btxn_R5R5EVZCQE2603,2026-08-30,NEFT-7342883429z347-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,7342883429z347,0,2731477
btxn_NZS1V1P4AG2629,2026-09-02,NEFT-5322459877c125-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,5322459877c125,0,3002483
btxn_ASZTSEB0G32661,2026-09-01,IMPS/RAZORPAYSOFTWARE/PAYOUT/REF UNAVAILABLE,NA,0,12614058
btxn_NL5RWXHU4K2687,2026-09-04,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-3817018257p516,3817018257p516,0,2490212
btxn_3Z404KU2FD2716,2026-09-03,IMPS/6549180165z727/RAZORPAY/SETTLEMENT,6549180165z727,0,6283279
btxn_6ST4V0AUMR2731,2026-09-04,RTGS-2555296405x280-RAZORPAY SOFTWARE PRIVATE LIMITED,2555296405x280,0,2989196
btxn_QUBSFMFCZL2771,2026-09-05,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-2967143136p444,2967143136p444,0,16475968
btxn_0HGV0BN0EF2797,2026-09-06,FUND TRF FRM RAZORPAY SOFTWARE PVT LTD,,0,7197738
btxn_KT516ZHJXN2830,2026-09-07,IMPS/9202386368f859/RAZORPAY/SETTLEMENT,9202386368f859,0,4141953
btxn_TRSYC18WP82856,2026-09-08,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-7410526196h322,7410526196h322,0,1279009
btxn_E59MBXCRSX2900,2026-09-09,NEFT-6499356817z722-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,6499356817z722,0,28804164
btxn_82EC9X6NY82934,2026-09-10,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-6998824234n488,6998824234n488,0,9650039
btxn_299FXXCRD82969,2026-09-11,RTGS-6017450483g253-RAZORPAY SOFTWARE PRIVATE LIMITED,6017450483g253,0,8192041
btxn_NFFGZPMCL12986,2026-09-12,RTGS-7676125158s857-RAZORPAY SOFTWARE PRIVATE LIMITED,7676125158s857,0,2936186
btxn_Q44CKG5AT43024,2026-09-13,RTGS-9600409780v341-RAZORPAY SOFTWARE PRIVATE LIMITED,9600409780v341,0,12173485
btxn_DD2DR9ED4Y3060,2026-09-14,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-6901766183q211,6901766183q211,0,3646272
btxn_TZHSWX828F3104,2026-09-15,NEFT-4919717874f398-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,4919717874f398,0,36166180
btxn_F7S2SXVYY53140,2026-09-16,NEFT CR-HDFC0000060-RAZORPAY SOFTWARE PVT LTD-4416041612l997,4416041612l997,0,21362871
btxn_2U1J4M83XG3160,2026-09-17,IMPS/4132523616q334/RAZORPAY/SETTLEMENT,4132523616q334,0,17102455
btxn_3SE5KW0CHH3195,2026-09-21,RTGS-9189063575e208-RAZORPAY SOFTWARE PRIVATE LIMITED,9189063575e208,0,5449704
btxn_9WXMX3L6M03233,2026-09-19,NEFT-7599991412e541-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,7599991412e541,0,7092945
btxn_1YJRE251LK3274,2026-09-20,IMPS/9082996054r939/RAZORPAY/SETTLEMENT,9082996054r939,0,6487978
btxn_6VGCZPTGWA3297,2026-09-21,NEFT-4659740195n534-RAZORPAY SOFTWARE PVT LTD-HDFC0000060,4659740195n534,0,13442960
btxn_04CQ37KXCJ3329,2026-09-22,RTGS-8012278776t747-RAZORPAY SOFTWARE PRIVATE LIMITED,8012278776t747,0,3108033
btxn_YNGNKSXJ4X3352,2026-09-23,IMPS/8948332957b789/RAZORPAY/SETTLEMENT,8948332957b789,0,2084400
btxn_14QV7UR1QC3372,2026-09-24,RTGS-5559484174z168-RAZORPAY SOFTWARE PRIVATE LIMITED,5559484174z168,0,12297386
btxn_2DH9ZGGHW33387,2026-09-25,IMPS/1940748682d305/RAZORPAY/SETTLEMENT,1940748682d305,0,1232588
btxn_4YMY4VV9KW3386,2026-09-26,IMPS/1940748682d305/RAZORPAY/SETTLEMENT,1940748682d305,0,1232588
btxn_RZH1BJ1X643431,2026-09-26,IMPS/9749180000l161/RAZORPAY/SETTLEMENT,9749180000l161,0,6987467
btxn_HB4AYZ7AZL3466,2026-09-27,RTGS-7014598497q171-RAZORPAY SOFTWARE PRIVATE LIMITED,7014598497q171,0,13114789
btxn_N80YU75F6K3507,2026-09-28,FUND TRF FRM RAZORPAY SOFTWARE PVT LTD,NA,0,8214267
