entity_id,type,debit,credit,amount,currency,fee,tax,settlement_id,settlement_utr,created_at,settled_at,payment_id,order_id,method,description
pay_8ZR0FZQBWG0123,payment,0,141063,144472,INR,2889,520,setl_4NW68KD4GX0112,9952125442u276,2026-06-03,2026-06-05,pay_8ZR0FZQBWG0123,order_K3FQ4YB2D10122,upi,Payment captured
pay_6C0ZSBYEYR0128,payment,0,116290,119100,INR,2382,428,setl_R25EH7B8RK0126,6545970956a729,2026-06-04,2026-06-06,pay_6C0ZSBYEYR0128,order_MF9ZE988B00127,card,Payment captured
pay_16SCNUYDXT0131,payment,0,208338,213373,INR,4267,768,setl_R25EH7B8RK0126,6545970956a729,2026-06-04,2026-06-06,pay_16SCNUYDXT0131,order_5CUNCNCWV80130,netbanking,Payment captured
pay_WUV43L4Y4C0134,payment,0,10459200,10712003,INR,214240,38563,setl_R25EH7B8RK0126,6545970956a729,2026-06-04,2026-06-06,pay_WUV43L4Y4C0134,order_TF3F3MUWGF0133,card,Payment captured
pay_4ZZ4EJ9Z1W0137,payment,0,1632595,1672055,INR,33441,6019,setl_R25EH7B8RK0126,6545970956a729,2026-06-04,2026-06-06,pay_4ZZ4EJ9Z1W0137,order_4CJERZZ0CK0136,netbanking,Payment captured
pay_WYEUVLMZ8Q0140,payment,0,683468,699986,INR,13999,2519,setl_R25EH7B8RK0126,6545970956a729,2026-06-04,2026-06-06,pay_WYEUVLMZ8Q0140,order_U7NHJE4M4F0139,emi,Payment captured
pay_459YJMJ38D0143,payment,0,378730,387883,INR,7757,1396,setl_R25EH7B8RK0126,6545970956a729,2026-06-04,2026-06-06,pay_459YJMJ38D0143,order_V16922EJWE0142,netbanking,Payment captured
pay_CBFCSP2B7U0146,payment,0,757255,775557,INR,15511,2791,setl_R25EH7B8RK0126,6545970956a729,2026-06-04,2026-06-06,pay_CBFCSP2B7U0146,order_NTJVF8LKLX0145,wallet,Payment captured
pay_WR5HT4RKGD0149,payment,0,61888,63383,INR,1267,228,setl_R25EH7B8RK0126,6545970956a729,2026-06-04,2026-06-06,pay_WR5HT4RKGD0149,order_XKWWY1JZ8G0148,emi,Payment captured
pay_DDU76UAG3J0152,payment,0,234673,240344,INR,4806,865,setl_R25EH7B8RK0126,6545970956a729,2026-06-04,2026-06-06,pay_DDU76UAG3J0152,order_V7BF185RPY0151,upi,Payment captured
pay_V6BZXH2VB60157,payment,0,1299681,1331093,INR,26621,4791,setl_KN818CCCJX0155,8747974356q567,2026-06-05,2026-06-07,pay_V6BZXH2VB60157,order_JWWL1VX8870156,emi,Payment captured
pay_6DJ9PW690W0160,payment,0,3753029,3843740,INR,76874,13837,setl_KN818CCCJX0155,8747974356q567,2026-06-05,2026-06-07,pay_6DJ9PW690W0160,order_NB4W2K2P280159,card,Payment captured
pay_1YKUCUFY4S0163,payment,0,6828106,6993143,INR,139862,25175,setl_KN818CCCJX0155,8747974356q567,2026-06-05,2026-06-07,pay_1YKUCUFY4S0163,order_UP7W6YTUH00162,emi,Payment captured
pay_66NUWUDFQC0166,payment,0,69263,70936,INR,1418,255,setl_KN818CCCJX0155,8747974356q567,2026-06-05,2026-06-07,pay_66NUWUDFQC0166,order_DG2X6GJAL20165,netbanking,Payment captured
pay_HXL5SMAXUN0169,payment,0,463815,475025,INR,9500,1710,setl_KN818CCCJX0155,8747974356q567,2026-06-05,2026-06-07,pay_HXL5SMAXUN0169,order_XU597J85TN0168,wallet,Payment captured
pay_ZRDH5VL18V0172,payment,0,73157,74924,INR,1498,269,setl_KN818CCCJX0155,8747974356q567,2026-06-05,2026-06-07,pay_ZRDH5VL18V0172,order_AS0R4TXVAS0171,wallet,Payment captured
pay_C3YEDE6CU20177,payment,0,115998,118801,INR,2376,427,setl_8NKLW94HP70175,7487012742z156,2026-06-06,2026-06-08,pay_C3YEDE6CU20177,order_5D5VB1SAPE0176,netbanking,Payment captured
pay_QR5YKTNHC20180,payment,0,147183,150739,INR,3014,542,setl_8NKLW94HP70175,7487012742z156,2026-06-06,2026-06-08,pay_QR5YKTNHC20180,order_19JQABV5300179,wallet,Payment captured
pay_K9Q2VTDM370183,payment,0,147823,151394,INR,3027,544,setl_8NKLW94HP70175,7487012742z156,2026-06-06,2026-06-08,pay_K9Q2VTDM370183,order_PDJ8UQWWRV0182,card,Payment captured
pay_0RSPXF4ZFN0186,payment,0,1213706,1243040,INR,24860,4474,setl_8NKLW94HP70175,7487012742z156,2026-06-06,2026-06-08,pay_0RSPXF4ZFN0186,order_RQVK5D229J0185,netbanking,Payment captured
pay_05YVSZ875G0189,payment,0,2203985,2257256,INR,45145,8126,setl_8NKLW94HP70175,7487012742z156,2026-06-06,2026-06-08,pay_05YVSZ875G0189,order_PNH6RP1RWU0188,netbanking,Payment captured
pay_S775LYLJ7M0192,payment,0,1439998,1474803,INR,29496,5309,setl_8NKLW94HP70175,7487012742z156,2026-06-06,2026-06-08,pay_S775LYLJ7M0192,order_2UKNXQ0R7X0191,card,Payment captured
pay_9TUB83MGG90195,payment,0,139113,142474,INR,2849,512,setl_8NKLW94HP70175,7487012742z156,2026-06-06,2026-06-08,pay_9TUB83MGG90195,order_5ZD67BA2AB0194,wallet,Payment captured
pay_ALF73XG9CQ0198,payment,0,71917,73655,INR,1473,265,setl_8NKLW94HP70175,7487012742z156,2026-06-06,2026-06-08,pay_ALF73XG9CQ0198,order_QVFCF1006D0197,card,Payment captured
pay_8YDG3QEX1W0201,payment,0,1784461,1827591,INR,36551,6579,setl_8NKLW94HP70175,7487012742z156,2026-06-06,2026-06-08,pay_8YDG3QEX1W0201,order_1EVLR0X0JF0200,upi,Payment captured
pay_GFAV4ZTGJF0204,payment,0,848936,869455,INR,17389,3130,setl_8NKLW94HP70175,7487012742z156,2026-06-06,2026-06-08,pay_GFAV4ZTGJF0204,order_REFTK0K0WZ0203,emi,Payment captured
pay_LJTVT7KEL30207,payment,0,908423,930379,INR,18607,3349,setl_8NKLW94HP70175,7487012742z156,2026-06-06,2026-06-08,pay_LJTVT7KEL30207,order_0AU20FR9L00206,wallet,Payment captured
pay_27JVRSK30E0212,payment,0,1048698,1074044,INR,21480,3866,setl_VWN6WM1WU70210,4358554365k485,2026-06-07,2026-06-09,pay_27JVRSK30E0212,order_ZHNMB5P4UE0211,netbanking,Payment captured
pay_9Q4Z158KYB0215,payment,0,166486,170509,INR,3410,613,setl_VWN6WM1WU70210,4358554365k485,2026-06-07,2026-06-09,pay_9Q4Z158KYB0215,order_C1X3GAGSQ80214,wallet,Payment captured
pay_HBXGLR9MLX0218,payment,0,1311166,1342857,INR,26857,4834,setl_VWN6WM1WU70210,4358554365k485,2026-06-07,2026-06-09,pay_HBXGLR9MLX0218,order_6Y6G44WEVC0217,wallet,Payment captured
pay_5HS79W01HY0221,payment,0,1040304,1065447,INR,21308,3835,setl_VWN6WM1WU70210,4358554365k485,2026-06-07,2026-06-09,pay_5HS79W01HY0221,order_APPTEGMZWN0220,upi,Payment captured
pay_L7UJMW4DYA0224,payment,0,187158,191680,INR,3833,689,setl_VWN6WM1WU70210,4358554365k485,2026-06-07,2026-06-09,pay_L7UJMW4DYA0224,order_K802J03M7M0223,wallet,Payment captured
pay_8HHTZC4P3G0227,payment,0,154384,158115,INR,3162,569,setl_VWN6WM1WU70210,4358554365k485,2026-06-07,2026-06-09,pay_8HHTZC4P3G0227,order_BQUCTQUL570226,card,Payment captured
pay_WUUT8GJ2DT0230,payment,0,1447968,1482965,INR,29659,5338,setl_VWN6WM1WU70210,4358554365k485,2026-06-07,2026-06-09,pay_WUUT8GJ2DT0230,order_Y3LJPPDYTL0229,wallet,Payment captured
pay_5YE1P3P7TW0233,payment,0,28997,29696,INR,593,106,setl_VWN6WM1WU70210,4358554365k485,2026-06-07,2026-06-09,pay_5YE1P3P7TW0233,order_F18TZ57WAF0232,upi,Payment captured
pay_VJ0JKE9AL40239,payment,0,8870841,9085252,INR,181705,32706,setl_GAP6EJQ94A0237,9624563057k936,2026-06-08,2026-06-10,pay_VJ0JKE9AL40239,order_J6EQ0FGGWZ0238,emi,Payment captured
pay_P98N1UDR700242,payment,0,963926,987223,INR,19744,3553,setl_GAP6EJQ94A0237,9624563057k936,2026-06-08,2026-06-10,pay_P98N1UDR700242,order_3WJRTFRUBV0241,emi,Payment captured
pay_18U8231FKT0245,payment,0,149511,153124,INR,3062,551,setl_GAP6EJQ94A0237,9624563057k936,2026-06-08,2026-06-10,pay_18U8231FKT0245,order_M6EBEASPCD0244,wallet,Payment captured
pay_AJAL7Y99SL0248,payment,0,732748,750458,INR,15009,2701,setl_GAP6EJQ94A0237,9624563057k936,2026-06-08,2026-06-10,pay_AJAL7Y99SL0248,order_DRF3H5DVMH0247,netbanking,Payment captured
pay_SGHQ8ACARC0251,payment,0,1424887,1459326,INR,29186,5253,setl_GAP6EJQ94A0237,9624563057k936,2026-06-08,2026-06-10,pay_SGHQ8ACARC0251,order_E758ZD7LZL0250,wallet,Payment captured
pay_XA0VGP9R270256,payment,0,161114,165008,INR,3300,594,setl_E5UVWF5AZN0254,8664400151x737,2026-06-09,2026-06-11,pay_XA0VGP9R270256,order_7NRKA2BQYA0255,upi,Payment captured
pay_1WW4TQENJG0259,payment,0,1279044,1309958,INR,26199,4715,setl_E5UVWF5AZN0254,8664400151x737,2026-06-09,2026-06-11,pay_1WW4TQENJG0259,order_J1ED3JRUSW0258,wallet,Payment captured
pay_Y18DVSMB140262,payment,0,77498,79370,INR,1587,285,setl_E5UVWF5AZN0254,8664400151x737,2026-06-09,2026-06-11,pay_Y18DVSMB140262,order_HFLVCPWKFR0261,card,Payment captured
pay_HC5DL317B00265,payment,0,1006321,1030643,INR,20612,3710,setl_E5UVWF5AZN0254,8664400151x737,2026-06-09,2026-06-11,pay_HC5DL317B00265,order_FSEBEN4JFX0264,emi,Payment captured
pay_N9RB0Y67Y80268,payment,0,747385,765448,INR,15308,2755,setl_E5UVWF5AZN0254,8664400151x737,2026-06-09,2026-06-11,pay_N9RB0Y67Y80268,order_U726DFT0J20267,wallet,Payment captured
pay_MMRWYBYKN70271,payment,0,205946,210923,INR,4218,759,setl_E5UVWF5AZN0254,8664400151x737,2026-06-09,2026-06-11,pay_MMRWYBYKN70271,order_QLGRRTDQ0Y0270,wallet,Payment captured
pay_9ZEZ1GXVWJ0274,payment,0,166859,170891,INR,3417,615,setl_E5UVWF5AZN0254,8664400151x737,2026-06-09,2026-06-11,pay_9ZEZ1GXVWJ0274,order_NJXMWDBKKH0273,netbanking,Payment captured
pay_Y0G6QL4ECU0279,payment,0,211110,216212,INR,4324,778,setl_XERYWLFX4A0277,2139078760h809,2026-06-10,2026-06-12,pay_Y0G6QL4ECU0279,order_GAD042L2700278,emi,Payment captured
pay_PN2SUVRGD10282,payment,0,3477974,3562037,INR,71240,12823,setl_XERYWLFX4A0277,2139078760h809,2026-06-10,2026-06-12,pay_PN2SUVRGD10282,order_X6B3L3LDGX0281,upi,Payment captured
pay_0MZ0ZM4CS40285,payment,0,53393,54682,INR,1093,196,setl_XERYWLFX4A0277,2139078760h809,2026-06-10,2026-06-12,pay_0MZ0ZM4CS40285,order_UF6HV167SF0284,emi,Payment captured
pay_89KH4MLPNJ0288,payment,0,25276,25886,INR,517,93,setl_XERYWLFX4A0277,2139078760h809,2026-06-10,2026-06-12,pay_89KH4MLPNJ0288,order_0926R6VF1C0287,wallet,Payment captured
pay_KGGGUY2S070291,payment,0,1374520,1407741,INR,28154,5067,setl_XERYWLFX4A0277,2139078760h809,2026-06-10,2026-06-12,pay_KGGGUY2S070291,order_WT95A92H2K0290,card,Payment captured
pay_NDRC5DZNTZ0296,payment,0,1299198,1330598,INR,26611,4789,setl_V4WT2FN4P20294,8477300991y628,2026-06-11,2026-06-13,pay_NDRC5DZNTZ0296,order_LEV81J9BMN0295,wallet,Payment captured
pay_QQPT28BA6J0299,payment,0,960290,983499,INR,19669,3540,setl_V4WT2FN4P20294,8477300991y628,2026-06-11,2026-06-13,pay_QQPT28BA6J0299,order_YLSFUB0DLP0298,netbanking,Payment captured
pay_EXTWTSVNK90302,payment,0,87003,89105,INR,1782,320,setl_V4WT2FN4P20294,8477300991y628,2026-06-11,2026-06-13,pay_EXTWTSVNK90302,order_91GA8ZUVG60301,wallet,Payment captured
pay_G6JSMXFQYQ0305,payment,0,18707,19158,INR,383,68,setl_V4WT2FN4P20294,8477300991y628,2026-06-11,2026-06-13,pay_G6JSMXFQYQ0305,order_NXQ6Y8VLMU0304,emi,Payment captured
pay_KJNX25KWMF0308,payment,0,1514990,1551607,INR,31032,5585,setl_V4WT2FN4P20294,8477300991y628,2026-06-11,2026-06-13,pay_KJNX25KWMF0308,order_E6N8H09V2D0307,emi,Payment captured
pay_NZAW9NBARQ0311,payment,0,1246587,1276717,INR,25534,4596,setl_V4WT2FN4P20294,8477300991y628,2026-06-11,2026-06-13,pay_NZAW9NBARQ0311,order_FJ331360AC0310,netbanking,Payment captured
pay_1BQQJPB8LH0314,payment,0,9421455,9649174,INR,192983,34736,setl_V4WT2FN4P20294,8477300991y628,2026-06-11,2026-06-13,pay_1BQQJPB8LH0314,order_99X3JX7YNL0313,wallet,Payment captured
pay_J2G8HUHG7N0317,payment,0,41302,42299,INR,845,152,setl_V4WT2FN4P20294,8477300991y628,2026-06-11,2026-06-13,pay_J2G8HUHG7N0317,order_S6KPAV2G9T0316,card,Payment captured
pay_EGSQ5US5DG0320,payment,0,1228337,1258025,INR,25160,4528,setl_V4WT2FN4P20294,8477300991y628,2026-06-11,2026-06-13,pay_EGSQ5US5DG0320,order_XRAAFH7KF80319,card,Payment captured
pay_ESWA9QX99G0325,payment,0,615260,630130,INR,12602,2268,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_ESWA9QX99G0325,order_0YBJ67H24C0324,wallet,Payment captured
pay_1RF544F74W0328,payment,0,582792,596877,INR,11937,2148,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_1RF544F74W0328,order_E7WRXTD8Q00327,emi,Payment captured
pay_HGQAXYU9ZG0331,payment,0,1584491,1622787,INR,32455,5841,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_HGQAXYU9ZG0331,order_5XZDQ5X6Z40330,wallet,Payment captured
pay_7A9D368MMJ0334,payment,0,220717,226051,INR,4521,813,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_7A9D368MMJ0334,order_NXG2CH458J0333,netbanking,Payment captured
pay_JM8WHY62U30337,payment,0,43804,44862,INR,897,161,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_JM8WHY62U30337,order_J28VWPNPUY0336,card,Payment captured
pay_0R8UD002WD0340,payment,0,13147605,13465387,INR,269307,48475,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_0R8UD002WD0340,order_SKDUPCY4GQ0339,card,Payment captured
pay_LSAX5KCKWD0343,payment,0,3172698,3249382,INR,64987,11697,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_LSAX5KCKWD0343,order_MM8H0C3TSJ0342,emi,Payment captured
pay_96AHY4RRCW0346,payment,0,148672,152265,INR,3045,548,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_96AHY4RRCW0346,order_1FYQPXXZUP0345,wallet,Payment captured
pay_3GP3EKB5XC0349,payment,0,85541,87608,INR,1752,315,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_3GP3EKB5XC0349,order_NW8FGLAEPP0348,wallet,Payment captured
pay_GUVFU401B60352,payment,0,1130788,1158119,INR,23162,4169,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_GUVFU401B60352,order_WB0HAECEY80351,upi,Payment captured
pay_MQSNHMD5EU0355,payment,0,156258,160034,INR,3200,576,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_MQSNHMD5EU0355,order_1FVPYP28KL0354,netbanking,Payment captured
pay_AWRQ3TZJX60358,payment,0,640320,655795,INR,13115,2360,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_AWRQ3TZJX60358,order_W74XVKZW3L0357,emi,Payment captured
pay_KZ1QUJ588F0361,payment,0,197424,202194,INR,4043,727,setl_5T062LHJDL0323,5740411708s594,2026-06-12,2026-06-14,pay_KZ1QUJ588F0361,order_EEB8B1PCS60360,card,Payment captured
pay_Y76A8J4LQE0366,payment,0,176980,181257,INR,3625,652,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_Y76A8J4LQE0366,order_0ZE9S0Q91Y0365,netbanking,Payment captured
pay_J8CKDLSM910369,payment,0,1230082,1259813,INR,25196,4535,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_J8CKDLSM910369,order_66PL2BRCJL0368,emi,Payment captured
pay_JGBN982KGM0372,payment,0,158800,162637,INR,3252,585,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_JGBN982KGM0372,order_M8SLX5EQ000371,wallet,Payment captured
pay_6QFU2SNAA90375,payment,0,20786,21287,INR,425,76,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_6QFU2SNAA90375,order_93Q60YG3JS0374,wallet,Payment captured
pay_6SVY1JHQ4L0378,payment,0,763454,781906,INR,15638,2814,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_6SVY1JHQ4L0378,order_S3ZT1P26MZ0377,card,Payment captured
pay_9UDM74AN9U0381,payment,0,163303,167250,INR,3345,602,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_9UDM74AN9U0381,order_3FESQZFC010380,card,Payment captured
pay_YYTQN51ASM0384,payment,0,80296,82235,INR,1644,295,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_YYTQN51ASM0384,order_1Y11N9AEFU0383,emi,Payment captured
pay_HSE0QQW2Y90387,payment,0,1421287,1455639,INR,29112,5240,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_HSE0QQW2Y90387,order_S406RX55B60386,netbanking,Payment captured
pay_NRYKGHF7AC0390,payment,0,238574,244339,INR,4886,879,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_NRYKGHF7AC0390,order_TMN7NRRSPQ0389,card,Payment captured
pay_H95WAAP0GW0393,payment,0,506704,518951,INR,10379,1868,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_H95WAAP0GW0393,order_D936C8Y1M50392,wallet,Payment captured
pay_R30NKK6AM20396,payment,0,116936,119762,INR,2395,431,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_R30NKK6AM20396,order_ZZ1T4MJQGT0395,card,Payment captured
pay_B2HYNMUYW80399,payment,0,217970,223237,INR,4464,803,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_B2HYNMUYW80399,order_S6G4XSZZSY0398,emi,Payment captured
pay_4Z942LMBJR0402,payment,0,390189,399619,INR,7992,1438,setl_CP9Z065CCW0364,8481445242s657,2026-06-13,2026-06-15,pay_4Z942LMBJR0402,order_FLXQWWUT1T0401,upi,Payment captured
pay_F4VZ2SKVAA0407,payment,0,10938671,11203062,INR,224061,40330,setl_U4JJ9LBCYW0405,9006854740o991,2026-06-14,2026-06-16,pay_F4VZ2SKVAA0407,order_4JM539VY6Q0406,wallet,Payment captured
